Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1669-ET-042C;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 1688;Senato of Catania;Fernández de La Cueva, Francisco;1669-12-14;Catania;1670-01-08;Palermo;Supplication for the request of intercession with the Court to receive Don Vincenzo Paternò, Baron of Raddusa;Italian;;;;;;;;;;;
M-1674-LO-042D;1674 Lorca Earthquake;Madrid, Archivo Histórico Nacional, Consejo, 51436, exp. 8;Unknown;Unknown;1674-09;Murcia;;;Report on earthquake;Spanish;;;;;;;;;;;
M-1677-MA-042E;1677 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 23, r. 17, n. 53;Audiencia of Manila;Charles II;1678-06-04;Manila;1679-09-04;Madrid;Report on situation & last earthquake;Spanish;;;;;;;;;;;
M-1678-LI-042F;1678 Lima Earthquake;Seville, Archivo General de Indias, Lima, 78;Liñán y Cisneros, Melchor de;Charles II;1678-08-14;Lima;;Madrid;Liñán informed the king of the earthquake of 1678 and the measures adopted to appease the divine wrath. The earthquake mainly affected the temples, especially the cathedral. The viceroy claims that the earthquake is God's way of punishing the wicked, of making amends to the contumacious or of exercising the just. But he claimed that the motives behind the earthquake couldn't be known because the divine will is inscrutable. He said that four people died in Lima and thirteen in the port of El Callao, where the sea was very restless. He reported too how, after the earthquake, he went out with Conde de Castelar, then viceroy, to survey the damage.;Spanish;;;;;;;;;;;
M-1678-LI-062B;1678 Lima Earthquake;Archivio Apostolico Vaticano, Congregazione del Concilio, Relationes, vol. 450;Liñán y Cisneros, Melchor de;Innocenzo XI;1690-11-30;Lima;;Rome;The archbishop claims that the earthquake caused sacred and profane buildings to shake and made Lima look like a Ninivie in the face of the preaching of the prophet Jonah. The reconstruction cost many thousands of ducats. Melchor de Liñán also recounted how he was asked to take over as viceroy eighteen days after the earthquake. He considered this assignment providential because if the secular power of the king and the ecclesiastical power were in the hands of one person, it was thus possible to repair both buildings and men.;Latin;;1687 Lima Earthquake;;;;;;;;;
M-1679-BE-0430;1679 Beijing Earthquake;Seville, Archivo General de Indias, Filipinas, 11, r. 1, n. 16;Vargas, Juan de;Charles II;1680-06-05;Manila;1681-06-28;Madrid;The author quotes the Beijing Earthquake and mentions local processions;Spanish;;;;;;;;;;;
M-1680-AN-0602;1680 Andalusia Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, 9/3654(36);[Pacheco, Alonso];;[1680];Cordoba;;;Relación del terremoto que el día 9 de octubre de 1680 padeció la Ciudad de Córdova y de las demonstraciones que en acción de gracias hicieron los ilustrísimos cavildos de la Santa Yglesia Cathedral y de la ciudad;;P-1680-AN-017C / 1680 Andalusia Earthquake / Relación de el terremoto, que el día nueve de octubre de mil y seiscientos y ochenta padeció la ciudad de Córdoba: y de las demostraciones que en acción de gracias hizieron los illustríssimos Cabildos de la santa iglesia cathedral, y de la ciudad (Very similar to);;;;;;;;;;
M-1680-AN-0603;1680 Andalusia Earthquake;Granada, Universidad de Granada, Biblioteca del Hospital Real, A-031-126 (15);Montenegro, Pedro de;;[1680];Malaga;;;Breve relación de la missión apostólica que hizo el Col[egio] de S. Pablo de la Comp[añí]a de Ih[esú]s de la ciud[ad] de Granada con occasión del terrible temblor de tierra sucedido en dicha ciud[ad] miércoles 9 de oct[ubr]e a las 7 de la mañana este año de 1680, y de su causa y effectos;Spanish;;;https://digibug.ugr.es/handle/10481/12214?locale-attribute=es;;;;;;;;
M-1684-CU-0431;1684 Cumaná Earthquake;Seville, Archivo General de Indias, Santo Domingo, 188, r. 2, n. 25;Vivero, Francisco de;Charles II;1684-07-12;Cumaná;1685-02-27;;Report on earthquake;Spanish;;;;;;;;;;;
M-1687-LI-0432;1687 Lima Earthquake;Archivum Romanum Societatis Iesu, Provincia Peruana, vol. 17, ff. 52r- 116v;Jaúregui, Martín de;González de Santalla, Tirso;;;;Rome;Annual letter referred to Peruvian Province from the end of 1685 to October 1688 in which Martín de Jaúregui gives details about the Lima earthquake of 1687 and the devotions and religious rituals promotes after the seism thanks to Duke of Palata and his wife;Spanish;;;;;;;;;;;
M-1687-LI-0433;1687 Lima Earthquake;Toledo, Archivo Histórico de la Nobleza, Osuna, CT. 112, D. 6.;Arcayna, Jacinto;Borja Centelles, Pascual Francisco de;1688-06-30;Madrid;;;Report on Lima Earthquake, quoting a Relación del terremoto de Lima, ocurrido el 20 de octubre de 1687, from Amsterdam;Spanish;M-1687-LI-043B / 1687 Lima Earthquake / Relación del terremoto de Lima, ocurrido el 20 de octubre de 1687: a handwritten copy of the Relación del exemplar castigo, printed in Lima and Mexico City, that the Sender received from Cartagena de Indias thanks to the mediation of some English merchants who had returned to London from Jamaica (This document mentions);;http://pares.mcu.es/ParesBusquedas20/catalogo/description/3927644?nm;;Special route of news;;;;;;
M-1687-LI-0434;1687 Lima Earthquake;Toledo, Archivo Histórico de la Nobleza, Osuna, CT.112,D.23;Sánchez, Antonio;Borja Centelles, Pascual Francisco de;1688-06-30;Madrid;;Madrid;Information about the Lima disaster and the sorrow within the Madrid Court, especially of the Count of Cabra and of a son of the Duke of Alba;Spanish;;;http://pares.mcu.es/ParesBusquedas20/catalogo/description/3927722?nm;;;;;;;;
M-1687-LI-0435;1687 Lima Earthquake;Toledo, Archivo Histórico de la Nobleza, Osuna, CT. 112, D. 12;Clareti, Andrés Juan;Silva Mendoza, Gregorio de;1688-07-13;Alicante;;;The author reports news from America on the Lima Earthquake, with incredulity, as they are based on rumours in the Alicante port spread Friar Domingo Alvarez de Toledo's letter;Spanish;M-1687-LI-0446 / 1687 Lima Earthquake / (Copy) A detailed report on the damages caused in Lima, on the measures implememted by the viceroy and on processions and rites of penance led by Jesuits and Franciscans (Title: Copia de una carta que el P. fr. Domingo Alvarez de Toledo, franciscano, procurador general de Corte en Lima, escribió desde Lima al reverendísimo Padre general en este chasque, su fecha en 29 de Octubre de 1687) (This document mentions);;http://pares.mcu.es/ParesBusquedas20/catalogo/description/3936172?nm;;;;;;;;
M-1687-LI-0436;1687 Lima Earthquake;Seville, Archivo General de Indias, Lima, 87, Cartas y expedientes de virreyes de Perú, n 1;Navarra y Rocafull, Melchor de;Charles II;1687-12-08;Lima;;Madrid;Tasacion del daño sufrido' por la iglesia con el temblor del 20 de octubre';Spanish;;;;;;;;;;;
M-1687-LI-0437;1687 Lima Earthquake;Seville, Archivo General de Indias, Lima, 87, Cartas y expedientes de virreyes de Perú, n 3;Navarra y Rocafull, Melchor de;Charles II;1687-12-08;Lima;;Madrid;Contribucion del Cabildo eclesiástico a la reedificación de la Iglesia';Spanish;;;;;;;;;;;
M-1687-LI-0438;1687 Lima Earthquake;Seville, Archivo General de Indias, Lima, 87, Cartas y expedientes de virreyes de Perú, n 31;Navarra y Rocafull, Melchor de;Charles II;1687-12-08;Lima;;Madrid;Falta de medios de la Ciudad';Spanish;;;;;;;;;;;
M-1687-LI-0439;1687 Lima Earthquake;Seville, Archivo General de Indias, Lima, 87, Cartas y expedientes de virreyes de Perú, s.n.;Navarra y Rocafull, Melchor de;Charles II;1687-12-08;Lima;;Madrid;Representacion que ha hecho al virrey el cabildo y regimiento de Lima sobre la falta de medios con que se halla para reparar las casas del cabildo y cárcel por causa del temblor';Spanish;;;;;;;;;;;
M-1687-LI-043A;1687 Lima Earthquake;Biblioteca Nacional de España, Manuscripts, Ms 9963;Navarra y Rocafull, Melchor de;Portocarrero y Lasso de la Vega, Melchor;1689;Lima;;;Relación del estado del Perú en los ocho años de su gobierno que hace el Duque de la Palata al Exmo. Señor Conde de la Monclova';Spanish;;;;;;;;;;;
M-1687-LI-043B;1687 Lima Earthquake;Biblioteca Nacional de España, Manuscripts, Ms 9403, fols. 102-104;Belmonte, Manuel de;Charles II;1688-07-05;Amsterdam;;Madrid;Relación del terremoto de Lima, ocurrido el 20 de octubre de 1687: a handwritten copy of the Relación del exemplar castigo, printed in Lima and Mexico City, that the Sender received from Cartagena de Indias thanks to the mediation of some English merchants who had returned to London from Jamaica;Spanish;"M-1687-LI-0433 / 1687 Lima Earthquake / Report on Lima Earthquake, quoting a Relación del terremoto de Lima, ocurrido el 20 de octubre de 1687, from Amsterdam (This document is mentioned in);P-1687-LI-0195 / 1687 Lima Earthquake / Relación del exemplar castigo que embió Dios a la ciudad de Lima cabeça del Perú, y a su costa de barlovento con los espantosos temblores del día 20 de octubre del año de 1687 (This document mentions)";;;;;;;;;;
M-1687-LI-043C;1687 Lima Earthquake;Naples, Biblioteca della Società Napoletana di Storia Patria, Manuscripts, ;Confuorto, Domenico;;1688-07;Naples;;;In his handwritten journal (printed in 1930 under the title Giornali di Napoli dal MDCXXIX al XDCIC) notes diary that the news of the 1687 Lima earthquake spread easily among the Neapolitan populace, who had recently experienced a similar calamity. Attached to this note was the a print newssheet in Italian;Italian;;;;;The Distinta e veridica Relatione dello spaventoso Terremoto accaduto nella città di Lima metropoli del Regno del Perù' published by D.A. Parrino was originally attached to this page of the Journal';;;;;;
M-1687-LI-043D;1687 Lima Earthquake;Seville, Archivo General de Indias, Lima, 304, Cartas y expedientes: Arzobispo de Lima, 1664-1699, n. 11;Liñán y Cisneros, Melchor de;Charles II;1687-12-03;Lima;1689-04;Madrid;A detailed description of the Lima Earthquake and of the tsunami in Callao, along with an account of the archbishop's injury and recovery, and with brief news of damages and vitims in other Central Peru dioceses;Spanish;;;;;Personal experience;;;;;;
M-1687-LI-043E;1687 Lima Earthquake;Archivio Apostolico Vaticano, Segreteria di Stato, Spagna, 167, f. 469;Durazzo, Marcello;Cybo-Malaspina, Alderano;1688-07-01;Madrid;;Rome;Avvisi, some of these regarding the first news on the earthquake in Lima (1687). These news are considered unreliable;Italian;M-1688-SA-0462 / 1688 Sannio Earthquake / Sorrow of the Madrid court for the earthquake in the Kingdom of Naples. Commitment of the nuncio to the abolition of the beneficiata (This document is attached to);;;;;;;;;;
M-1687-LI-043F;1687 Lima Earthquake;Archivio Apostolico Vaticano, Segreteria di Stato, Spagna, 167, f. 514;Durazzo, Marcello;Cybo-Malaspina, Alderano;1688-07-29;Madrid;;Rome;Avvisi: news on the earthquake in Lima;Italian;;;;;;;;;;;
M-1687-LI-0440;1687 Lima Earthquake;Archivio Apostolico Vaticano, Segreteria di Stato, Spagna, 167, ff. 515-515v;Durazzo, Marcello;Cybo-Malaspina, Alderano;1688-08-05;Madrid;;Rome;Avvisi: news on the earthquake in Lima;Italian;;;;;;;;;;;
M-1687-LI-0441;1687 Lima Earthquake;Archivum Romanum Societatis Iesu, Provincia Peruana, vol. 20, ff. 266r-274v;Xaverino, Francesco;Unknown;;Lima;;;Relacion de la colocacion solemne del S.to Xpto. de la Contricion en su nuevo retablo y capilla sita en la Iglesia de el collegio de S.Pablo de la Comp.a de JHS traido en rogativa y prosesion devota y de los efectos gloriosos del Jubileo de las Misiones q. por espacio de 8 dias se publico en esta ciudad de Lima'. A report on the transfer of the Cristo de la Contricción to the chapel of the church of San Pablo (Lima) and the processions and rogations on the occasion of the jubilee for the earthquake of Lima in 1687.';Spanish;;;;;;;;;;;
M-1687-LI-0442;1687 Lima Earthquake;Archivum Romanum Societatis Iesu, Provincia Peruana, vol.20, ff. 275r-276v;Unknown;Unknown;;;;;Relación del terremoto desta ciudad de Lima y sus cosas el lunes 20 de otubre de 1687'. A report on the earthquake of Lima in 1687, the damages it caused in Lima and its surroundings and the role of the Society of Jesus.';;;;;;;;;;;;
M-1687-LI-0443;1687 Lima Earthquake;Archivum Romanum Societatis Iesu, Provincia Peruana, vol. 20, ff. 277r-277v;Unknown;Unknown;;;;;Brief report on the damages caused to the temples, the neighbouring towns and the port of Callao by the earthquake of Lima in 1687;;;;;;;;;;;;
M-1687-LI-0444;1687 Lima Earthquake;Archivio Generale dell'Ordine dei Padri Predicatori, Serie IV, Serie 176ter, f. 115r;Cloche, Antonin;Campo, Ignacio del;1688-09-05;Rome;;Lima;Record of a letter from Father General Antonin Cloche to Father Provincial Ignacio del Campo to show his sadness for the earthquake of Lima in 1687. He offers him all his support so that he may recover the functioning of the college of St. Thomas and the estates of the order as soon as possible;Spanish;;;;;;;;;;;
M-1687-LI-0445;1687 Lima Earthquake;Archivio Generale dell'Ordine dei Padri Predicatori, Serie IV, Serie 176ter, ff. 122r-123r;Cloche, Antonin;Campo, Ignacio del;1688-11-08;Rome;;Lima;Record of a letter from Father General Antonin Cloche to Father Provincial Ignacio del Campo in which he points out the importance of rebuilding the Dominican school destroyed by the earthquake in Lima as soon as possible, above the reconstruction of any other building.;Spanish;;;;;;;;;;;
M-1687-LI-0446;1687 Lima Earthquake;Biblioteca Nacional de España, Manuscripts, Ms 9403, fols. 102-104;Álvarez de Toledo, Domingo;Franciscan Father General;1687-10-29;Lima;;Madrid;(Copy) A detailed report on the damages caused in Lima, on the measures implememted by the viceroy and on processions and rites of penance led by Jesuits and Franciscans (Title: Copia de una carta que el P. fr. Domingo Alvarez de Toledo, franciscano, procurador general de Corte en Lima, escribió desde Lima al reverendísimo Padre general en este chasque, su fecha en 29 de Octubre de 1687);Spanish;M-1687-LI-0435 / 1687 Lima Earthquake / The author reports news from America on the Lima Earthquake, with incredulity, as they are based on rumours in the Alicante port spread Friar Domingo Alvarez de Toledo's letter (This document is mentioned in);;http://bdh.bne.es/bnesearch/detalle/bdh0000100283;;;;;;;;
M-1687-LI-0447;1687 Lima Earthquake;Seville, Archivo General de Indias, Lima, 87, Cartas y expedientes de virreyes de Perú, n 25;Navarra y Rocafull, Melchor de;Charles II;1687-12-08;Lima;;Madrid;Ruina de Lima por los temblores del dia 20 de octubre;Spanish;;;;;;;;;;;
M-1687-LI-0448;1687 Lima Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, Coleccion Salazar y Castro, N-54, f. 27-28;Unknown;Unknown;[1687];;;;short report on the 'fatal fall' of Lima. Compared to other reports, here the figures on the victims are heavily emphasised and ample space is given to the prophecies and revelations made by some nuns;Spanish;;;;;;;;;;;
